iter	Passed	Remaining
0	2	2366
1	4	2262
2	7	2536
3	11	2811
4	13	2659
5	15	2531
6	16	2404
7	18	2321
8	20	2303
9	23	2334
10	26	2342
11	27	2282
12	29	2216
13	30	2175
14	32	2123
15	33	2081
16	36	2087
17	38	2114
18	41	2127
19	42	2092
20	44	2057
21	45	2040
22	47	2017
23	49	1993
24	51	1990
25	53	2003
26	56	2018
27	57	1995
28	58	1968
29	60	1942
30	61	1933
31	64	1943
32	66	1934
33	68	1933
34	70	1946
35	71	1927
36	73	1906
37	74	1888
38	76	1878
39	78	1879
40	79	1869
41	82	1872
42	85	1897
43	87	1890
44	88	1875
45	89	1865
46	91	1855
47	92	1841
48	94	1829
49	96	1825
50	98	1828
51	100	1832
52	101	1819
53	103	1806
54	105	1816
55	107	1818
56	109	1813
57	114	1852
58	116	1854
59	117	1845
60	119	1834
61	120	1828
62	122	1819
63	123	1809
64	125	1798
65	126	1790
66	128	1790
67	131	1796
68	132	1789
69	134	1782
70	135	1776
71	137	1767
72	138	1759
73	139	1750
74	141	1745
75	143	1741
76	144	1734
77	146	1735
78	148	1729
79	149	1724
80	151	1718
81	152	1711
82	153	1697
83	155	1691
84	159	1711
85	161	1714
86	163	1713
87	165	1710
88	166	1704
89	168	1699
90	169	1692
91	172	1700
92	173	1696
93	177	1711
94	179	1711
95	181	1707
96	182	1700
97	184	1696
98	186	1693
99	188	1695
100	190	1696
101	193	1701
102	196	1711
103	198	1712
104	200	1711
105	203	1713
106	205	1712
107	207	1714
108	209	1711
109	210	1706
110	212	1702
111	214	1697
112	215	1691
113	217	1689
114	221	1701
115	224	1711
116	226	1705
117	227	1701
118	229	1696
119	230	1690
120	232	1691
121	234	1685
122	237	1689
123	239	1694
124	241	1689
125	243	1685
126	245	1689
127	247	1686
128	249	1682
129	252	1690
130	255	1692
131	256	1688
132	258	1683
133	259	1679
134	262	1685
135	264	1683
136	266	1679
137	269	1685
138	271	1683
139	273	1680
140	275	1678
141	276	1671
142	279	1676
143	282	1679
144	287	1696
145	289	1693
146	291	1689
147	293	1687
148	295	1689
149	298	1693
150	301	1694
151	303	1692
152	305	1691
153	307	1689
154	310	1691
155	312	1689
156	315	1693
157	318	1695
158	319	1692
159	321	1689
160	323	1683
161	326	1687
162	330	1696
163	333	1699
164	335	1696
165	337	1693
166	342	1706
167	345	1708
168	347	1706
169	348	1703
170	350	1700
171	352	1696
172	354	1692
173	356	1691
174	361	1705
175	363	1702
176	365	1697
177	366	1694
178	369	1693
179	373	1703
180	376	1701
181	377	1697
182	379	1692
183	380	1687
184	381	1682
185	384	1683
186	386	1681
187	390	1684
188	391	1680
189	393	1675
190	394	1671
191	396	1667
192	398	1664
193	400	1662
194	401	1659
195	404	1660
196	406	1658
197	408	1653
198	409	1649
199	411	1645
200	413	1641
201	416	1645
202	419	1646
203	421	1644
204	423	1640
205	425	1639
206	427	1637
207	430	1637
208	434	1645
209	437	1645
210	439	1644
211	441	1641
212	443	1637
213	445	1634
214	448	1638
215	450	1635
216	452	1631
217	453	1627
218	455	1624
219	456	1619
220	458	1615
221	460	1613
222	463	1614
223	465	1611
224	466	1607
225	468	1605
226	470	1601
227	471	1597
228	473	1593
229	474	1590
230	477	1588
231	479	1585
232	480	1581
233	481	1577
234	483	1574
235	485	1570
236	486	1566
237	488	1563
238	489	1559
239	491	1557
240	493	1554
241	495	1550
242	496	1547
243	498	1543
244	499	1539
245	501	1536
246	502	1532
247	504	1528
248	505	1525
249	508	1525
250	510	1522
251	513	1523
252	514	1520
253	516	1517
254	518	1514
255	519	1511
256	524	1515
257	526	1514
258	528	1511
259	530	1509
260	532	1506
261	533	1503
262	535	1499
263	538	1500
264	539	1496
265	541	1493
266	543	1490
267	544	1487
268	546	1483
269	547	1480
270	549	1477
271	550	1474
272	553	1474
273	555	1470
274	556	1467
275	557	1463
276	559	1461
277	561	1458
278	563	1456
